game_id,game_time_utc,team_id,team,opp_id,opp,is_home,team_score,opp_score,win,margin,fga,fgm,fg3a,fg3m,fta,ftm,orb,drb,trb,ast,stl,blk,pf,tov,possessions,efg,ts_pct,ft_rate,tov_rate,orb_rate,drb_rate,three_pa_rate,off_rating,def_rating,net_rating,days_since_prev,b2b,three_in_four,pre_team_score_avg5,pre_team_score_avg10,pre_team_score_season,pre_opp_score_avg5,pre_opp_score_avg10,pre_opp_score_season,pre_margin_avg5,pre_margin_avg10,pre_margin_season,pre_possessions_avg5,pre_possessions_avg10,pre_possessions_season,pre_off_rating_avg5,pre_off_rating_avg10,pre_off_rating_season,pre_def_rating_avg5,pre_def_rating_avg10,pre_def_rating_season,pre_net_rating_avg5,pre_net_rating_avg10,pre_net_rating_season,pre_efg_avg5,pre_efg_avg10,pre_efg_season,pre_ts_pct_avg5,pre_ts_pct_avg10,pre_ts_pct_season,pre_ft_rate_avg5,pre_ft_rate_avg10,pre_ft_rate_season,pre_tov_rate_avg5,pre_tov_rate_avg10,pre_tov_rate_season,pre_orb_rate_avg5,pre_orb_rate_avg10,pre_orb_rate_season,pre_three_pa_rate_avg5,pre_three_pa_rate_avg10,pre_three_pa_rate_season,pre_ast_avg5,pre_ast_avg10,pre_ast_season,pre_tov_avg5,pre_tov_avg10,pre_tov_season
0022500082,2025-10-22 23:30:00+00:00,1610612737,ATL,1610612761,TOR,1,118.0,138.0,0,-20.0,90.0,38.0,35.0,10.0,37.0,32.0,8.0,26.0,44.0,25.0,7.0,6.0,24.0,16.0,114.52000000000001,0.4777777777777778,0.5551373729770418,0.4111111111111111,0.13971358714634996,0.16,0.6842105263157895,0.3888888888888889,103.0387705204331,120.50296891372685,-17.464198393293742,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0022500090,2025-10-24 23:00:00+00:00,1610612737,ATL,1610612753,ORL,0,111.0,107.0,1,4.0,85.0,41.0,29.0,8.0,28.0,21.0,9.0,32.0,51.0,26.0,8.0,6.0,21.0,16.0,104.3,0.5294117647058824,0.5702836004932182,0.32941176470588235,0.15340364333652926,0.21428571428571427,0.7272727272727273,0.3411764705882353,106.42377756471717,102.58868648130394,3.835091083413232,1.9791666666666667,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0022500101,2025-10-25 23:30:00+00:00,1610612737,ATL,1610612760,OKC,1,100.0,117.0,0,-17.0,85.0,35.0,39.0,16.0,21.0,14.0,15.0,31.0,53.0,25.0,7.0,5.0,23.0,17.0,97.8,0.5058823529411764,0.5305602716468591,0.24705882352941178,0.17382413087934562,0.3,0.6739130434782609,0.4588235294117647,102.24948875255625,119.6319018404908,-17.38241308793455,1.0208333333333333,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0022500115,2025-10-28 00:00:00+00:00,1610612737,ATL,1610612741,CHI,0,123.0,128.0,0,-5.0,98.0,49.0,32.0,11.0,20.0,14.0,8.0,28.0,42.0,32.0,8.0,1.0,17.0,6.0,106.02,0.5561224489795918,0.5758426966292135,0.20408163265306123,0.056593095642331635,0.1702127659574468,0.7,0.32653061224489793,116.01584606677986,120.73193737030749,-4.716091303527634,2.0208333333333335,0,1,109.66666666666667,,,120.66666666666667,,,-11.0,,,105.54,,,103.90401227923552,,,114.24118574517387,,,-10.337173465938355,,,0.5043572984749455,,,0.551993748372373,,,0.3291938997821351,,,0.15564712045407494,,,0.22476190476190475,,,0.3962962962962963,,,25.333333333333332,,,16.333333333333332,,
0022500130,2025-10-29 23:30:00+00:00,1610612737,ATL,1610612751,BKN,0,117.0,112.0,1,5.0,93.0,44.0,33.0,13.0,22.0,16.0,13.0,31.0,50.0,33.0,11.0,8.0,26.0,8.0,99.28,0.543010752688172,0.569731203739774,0.23655913978494625,0.08058017727639001,0.28888888888888886,0.6739130434782609,0.3548387096774194,117.84850926672038,112.81224818694601,5.036261079774377,1.9791666666666667,0,1,113.0,,,122.5,,,-9.5,,,105.66,,,106.93197072612159,,,115.86387365145727,,,-8.931902925335674,,,0.5172985861011071,,,0.5579559854365832,,,0.2979158329998666,,,0.13088361425113912,,,0.21112462006079027,,,0.3788548752834467,,,27.0,,,13.75,,
0022500020,2025-10-31 23:00:00+00:00,1610612737,ATL,1610612754,IND,0,128.0,108.0,1,20.0,94.0,51.0,30.0,10.0,20.0,16.0,12.0,43.0,58.0,30.0,10.0,5.0,23.0,10.0,104.16,0.5957446808510638,0.622568093385214,0.2127659574468085,0.09600614439324118,0.27906976744186046,0.7049180327868853,0.3191489361702128,122.88786482334869,103.68663594470047,19.201228878648223,1.9791666666666667,0,1,113.8,113.8,113.8,120.4,120.4,120.4,-6.6,-6.6,-6.6,104.38399999999999,104.38399999999999,104.38399999999999,109.11527843424135,109.11527843424135,109.11527843424135,115.25354855855501,115.25354855855501,115.25354855855501,-6.138270124313664,-6.138270124313664,-6.138270124313664,0.5224410194185201,0.5224410194185201,0.5224410194185201,0.5603110290972213,0.5603110290972213,0.5603110290972213,0.28564449435688255,0.28564449435688255,0.28564449435688255,0.1208229268561893,0.1208229268561893,0.1208229268561893,0.22667747382641,0.22667747382641,0.22667747382641,0.37405164216224124,0.37405164216224124,0.37405164216224124,28.2,28.2,28.2,12.6,12.6,12.6
0022500151,2025-11-02 23:00:00+00:00,1610612737,ATL,1610612739,CLE,0,109.0,117.0,0,-8.0,77.0,39.0,23.0,6.0,35.0,25.0,8.0,38.0,59.0,28.0,9.0,3.0,21.0,23.0,108.66,0.5454545454545454,0.5898268398268398,0.45454545454545453,0.2116694275722437,0.20512820512820512,0.7450980392156863,0.2987012987012987,100.31290263206331,107.67531750414136,-7.362414872078048,2.0,0,1,115.8,116.16666666666667,116.16666666666667,114.4,118.33333333333333,118.33333333333333,1.4,-2.1666666666666665,-2.1666666666666665,102.312,104.34666666666668,104.34666666666668,113.08509729482448,111.41070949909256,111.41070949909256,111.89028196474973,113.32572978957926,113.32572978957926,1.1948153300747293,-1.9150202904866827,-1.9150202904866827,0.5460344000331773,0.534658296323944,0.534658296323944,0.5737971731788558,0.5706872064785534,0.5706872064785534,0.24597546362402203,0.27349807153853684,0.27349807153853684,0.11208143830556754,0.11668679644569795,0.11668679644569795,0.2504914273147821,0.2354095227623184,0.2354095227623184,0.360103651618506,0.36490119116356984,0.36490119116356984,29.2,28.5,28.5,11.4,12.166666666666666,12.166666666666666
0022500166,2025-11-05 01:00:00+00:00,1610612737,ATL,1610612753,ORL,1,127.0,112.0,1,15.0,72.0,40.0,30.0,13.0,42.0,34.0,6.0,28.0,44.0,23.0,11.0,6.0,24.0,20.0,103.5,0.6458333333333334,0.7018125552608311,0.5833333333333334,0.1932367149758454,0.18181818181818182,0.6666666666666666,0.4166666666666667,122.70531400966183,108.21256038647343,14.492753623188406,2.0833333333333335,0,1,115.4,115.14285714285714,115.14285714285714,116.4,118.14285714285714,118.14285714285714,-1.0,-3.0,-3.0,103.184,104.96285714285715,104.96285714285715,111.86292230829369,109.82530851808839,109.82530851808839,112.90760816931723,112.5185280345167,112.5185280345167,-1.0446858610235268,-2.6932195164283064,-2.6932195164283064,0.54924295618291,0.5362006176283157,0.5362006176283157,0.5777058210455801,0.5734214398140229,0.5734214398140229,0.27100220159193644,0.2993619833966679,0.2993619833966679,0.12373459515271043,0.1302557437494902,0.1302557437494902,0.24865992548328028,0.23108362024315937,0.23108362024315937,0.3516086172411187,0.3554440636689597,0.3554440636689597,29.6,28.428571428571427,28.428571428571427,12.8,13.714285714285714,13.714285714285714
0022500030,2025-11-08 00:30:00+00:00,1610612737,ATL,1610612761,TOR,1,97.0,109.0,0,-12.0,96.0,33.0,38.0,9.0,23.0,22.0,19.0,35.0,65.0,24.0,8.0,7.0,19.0,19.0,104.06,0.390625,0.45702977761025254,0.23958333333333334,0.18258696905631366,0.35185185185185186,0.7291666666666666,0.3958333333333333,93.21545262348644,104.74726119546415,-11.531808571977706,2.9791666666666665,0,0,120.8,116.625,116.625,115.4,117.375,117.375,5.4,-0.75,-0.75,104.324,104.78,104.78,115.95408735971482,111.43530920453507,111.43530920453507,110.62373987851375,111.9802820785113,111.9802820785113,5.3303474812010645,-0.5449728739762172,-0.5449728739762172,0.5772331522613413,0.5499047070914429,0.5499047070914429,0.6119562777683745,0.589470329244874,0.589470329244874,0.33825710355272076,0.3348584021387511,0.3348584021387511,0.12761711197201037,0.1381283651527846,0.1381283651527846,0.2250235618469166,0.22492544044003718,0.22492544044003718,0.3431772446920991,0.36309688904367304,0.36309688904367304,29.2,27.75,27.75,13.4,14.5,14.5
0022500185,2025-11-09 01:00:00+00:00,1610612737,ATL,1610612747,LAL,1,122.0,102.0,1,20.0,94.0,48.0,39.0,16.0,11.0,10.0,8.0,30.0,44.0,37.0,13.0,6.0,14.0,11.0,99.32,0.5957446808510638,0.6171590449210845,0.11702127659574468,0.11075312122432542,0.19047619047619047,0.6976744186046512,0.4148936170212766,122.83527990334274,102.6983487716472,20.136931131695533,1.0208333333333333,1,1,115.6,114.44444444444444,114.44444444444444,111.6,116.44444444444444,116.44444444444444,4.0,-2.0,-2.0,103.93199999999999,104.69999999999999,104.69999999999999,111.39400867105614,109.41088069552967,109.41088069552967,107.42680464354507,111.17661309150606,111.17661309150606,3.9672040275110505,-1.7657323959763827,-1.7657323959763827,0.5441336624654229,0.5322069618590604,0.5322069618590604,0.5881936939645823,0.5747547123965826,0.5747547123965826,0.3453574436887752,0.3242722833825936,0.3242722833825936,0.15281588665480678,0.1430682100309545,0.1430682100309545,0.26135137902579764,0.2390283750413499,0.2390283750413499,0.35703778890978616,0.3667342717425242,0.3667342717425242,27.6,27.333333333333332,27.333333333333332,16.0,15.0,15.0
0022500206,2025-11-11 03:30:00+00:00,1610612737,ATL,1610612746,LAC,0,105.0,102.0,1,3.0,84.0,38.0,34.0,13.0,20.0,16.0,7.0,34.0,53.0,30.0,7.0,8.0,22.0,12.0,95.9,0.5297619047619048,0.5657327586206897,0.23809523809523808,0.12513034410844628,0.18421052631578946,0.7555555555555555,0.40476190476190477,109.4890510948905,106.36079249217934,3.1282586027111563,2.1041666666666665,0,1,116.6,115.2,115.2,109.6,115.0,115.0,7.0,0.2,0.2,103.93999999999998,104.16199999999999,104.16199999999999,112.3913627983806,110.75332061631097,110.75332061631097,105.40402476048533,110.32878665952016,110.32878665952016,6.987338037895282,0.42453395679080896,0.42453395679080896,0.5546804480980013,0.5385607337582606,0.5385607337582606,0.5976792622008444,0.5789951456490329,0.5789951456490329,0.32144987105093487,0.30354718270390874,0.30354718270390874,0.15885047544439387,0.1398367011502916,0.1398367011502916,0.24166883934325792,0.23417315658483395,0.23417315658483395,0.3690487703785576,0.3715502062703994,0.3715502062703994,28.4,28.3,28.3,16.6,14.6,14.6
0022500223,2025-11-13 03:00:00+00:00,1610612737,ATL,1610612758,SAC,0,133.0,100.0,1,33.0,85.0,49.0,40.0,17.0,22.0,18.0,7.0,38.0,56.0,42.0,14.0,6.0,20.0,21.0,109.80000000000001,0.6764705882352942,0.7023658639628221,0.25882352941176473,0.1912568306010929,0.21212121212121213,0.8085106382978723,0.47058823529411764,121.12932604735882,91.07468123861565,30.054644808743163,1.9791666666666667,0,1,112.0,113.9,114.27272727272727,108.4,111.4,113.81818181818181,3.6,2.5,0.45454545454545453,102.288,102.3,103.41090909090909,109.71160005268896,111.39834867375671,110.63838702345457,105.9388560699811,108.91456901736542,109.96805991703464,3.772743982707868,2.483779656391299,0.6703271064199314,0.5414838928801695,0.5437591464566733,0.5377608402131374,0.5863121952479395,0.5800546842133978,0.5777894741010017,0.32651572718062083,0.2862455954023214,0.2975970059213023,0.1646753153874349,0.13837837684650123,0.13849975960103292,0.22269699111804378,0.23659420921641292,0.22963109928764813,0.386171364096896,0.373137507857701,0.374569451587809,28.4,28.8,28.454545454545453,17.0,14.2,14.363636363636363
0022500227,2025-11-14 02:00:00+00:00,1610612737,ATL,1610612762,UTA,0,132.0,122.0,1,10.0,90.0,46.0,47.0,24.0,22.0,16.0,9.0,34.0,49.0,36.0,18.0,6.0,18.0,18.0,109.96000000000001,0.6444444444444445,0.6621187800963081,0.24444444444444444,0.16369588941433247,0.20454545454545456,0.7083333333333334,0.5222222222222223,120.04365223717714,110.94943615860312,9.094216078574021,0.9583333333333334,1,1,116.8,116.1,115.83333333333333,105.0,110.7,112.66666666666667,11.8,5.4,3.1666666666666665,102.516,102.85,103.94333333333333,113.87488473574805,112.86890352202087,111.51263194211326,102.61872881687596,107.7631684930966,108.39361169383307,11.25615591887211,5.1057350289242915,3.1190202482802007,0.5676871014363192,0.5584650288096146,0.5493199858816505,0.6088200000751359,0.5932629105603581,0.58817083992282,0.2873713421538828,0.27918677187290963,0.29436588287884086,0.16059279599320472,0.14216369557295758,0.14289618218437125,0.22409559251664515,0.23637775899996272,0.22817194202377844,0.4205487514154598,0.38607868432828923,0.38257101689666806,31.2,30.4,29.583333333333332,16.6,14.7,14.916666666666666
0022500239,2025-11-17 01:00:00+00:00,1610612737,ATL,1610612756,PHX,0,124.0,122.0,1,2.0,85.0,45.0,43.0,14.0,24.0,20.0,9.0,25.0,44.0,35.0,11.0,3.0,19.0,17.0,104.96000000000001,0.611764705882353,0.648807032231059,0.2823529411764706,0.16196646341463414,0.225,0.6097560975609756,0.5058823529411764,118.14024390243901,116.23475609756096,1.9054878048780495,2.9583333333333335,0,1,117.8,119.3,117.07692307692308,107.0,111.2,113.38461538461539,10.8,8.1,3.6923076923076925,103.80799999999999,104.066,104.40615384615384,113.34255238125112,114.64831987048296,112.16886427250279,103.1661039713019,106.89492192490782,108.59021357573845,10.176448409949234,7.753397945575149,3.578650696764341,0.5674093236585416,0.5723212379599414,0.5566372519249423,0.6008812450422314,0.6064187614053029,0.5938591430130884,0.21959356437610505,0.27892533396441294,0.2905257722300411,0.15468463088090215,0.14115087142645627,0.14449615966359902,0.2286410470620997,0.22683230445450814,0.22635451991006122,0.4416598625265709,0.392418553609335,0.3933134173063261,33.8,31.5,30.076923076923077,16.2,14.8,15.153846153846153
0022500251,2025-11-19 00:30:00+00:00,1610612737,ATL,1610612765,DET,1,112.0,120.0,0,-8.0,87.0,42.0,44.0,15.0,15.0,13.0,11.0,24.0,41.0,31.0,9.0,5.0,24.0,19.0,101.58,0.5689655172413793,0.5982905982905983,0.1724137931034483,0.18704469383736957,0.2558139534883721,0.7741935483870968,0.5057471264367817,110.25792478834417,118.13349084465446,-7.875566056310291,1.9791666666666667,0,0,123.2,119.4,117.57142857142857,109.6,110.6,114.0,13.6,8.8,3.5714285714285716,103.98800000000001,103.96000000000001,104.44571428571429,118.32751063704163,114.86075965404889,112.5953913889268,105.46360295172126,106.44520379763317,109.13625232729719,12.863907685320385,8.415555856415718,3.459139061629606,0.6116372648350121,0.5778854636502175,0.5605749272076145,0.6392366959663927,0.6137151949654875,0.5977839922429434,0.2281474859447325,0.28675246481675387,0.2899419985833575,0.15056052975256623,0.1516882082036865,0.1457440385029587,0.20327067669172932,0.2323110278587635,0.22625776848791398,0.4636696664481395,0.4103537276789629,0.4013540555659582,36.0,31.8,30.428571428571427,15.8,15.9,15.285714285714286
0022500267,2025-11-21 01:00:00+00:00,1610612737,ATL,1610612759,SAS,0,126.0,135.0,0,-9.0,87.0,49.0,37.0,20.0,13.0,8.0,6.0,33.0,46.0,30.0,7.0,6.0,24.0,16.0,103.96000000000001,0.6781609195402298,0.67946505608283,0.14942528735632185,0.1539053482108503,0.15384615384615385,0.7674418604651163,0.42528735632183906,121.20046171604463,129.85763755290495,-8.657175836860318,2.0208333333333335,0,1,121.2,118.9,117.2,113.2,111.4,114.4,8.0,7.5,2.8,104.44000000000001,104.19000000000001,104.25466666666667,115.81203961404192,114.10170120621126,112.4395602822213,108.5506313663227,106.97732806340403,109.73606822845434,7.26140824771922,7.124373142807251,2.703492053766946,0.6062814321130752,0.5804809401055382,0.5611342998765322,0.6354630066402953,0.6165711344205699,0.5978177659794537,0.23922598924627322,0.2803379301486041,0.28210678488469687,0.16581884427517507,0.16233465985978449,0.14849741552525275,0.21633822929416563,0.2290035343187118,0.22822818082127788,0.48184036833124055,0.4254445693548991,0.4083135936240131,34.8,31.6,30.466666666666665,17.4,17.0,15.533333333333333
0022500270,2025-11-23 00:00:00+00:00,1610612737,ATL,1610612740,NOP,0,115.0,98.0,1,17.0,90.0,42.0,46.0,17.0,19.0,14.0,10.0,32.0,49.0,28.0,6.0,7.0,20.0,7.0,97.46000000000001,0.5611111111111111,0.5845872305815372,0.2111111111111111,0.07182433819002668,0.2222222222222222,0.7111111111111111,0.5111111111111111,117.99712702647238,100.55407346603734,17.443053560435047,1.9583333333333333,0,1,125.4,118.7,117.75,119.8,114.1,115.6875,5.6,4.6,2.0625,106.05199999999999,104.17,104.23625,118.15432173827276,113.93296089548087,112.98711662183526,113.25000037846783,109.59442822422447,110.99366631123252,4.904321359804925,4.338532671256397,1.993450310602742,0.6359612350687401,0.5887225639744548,0.5684484636055133,0.6582094661327235,0.6222608306903316,0.6029207216109147,0.22149199909849,0.2740038631395554,0.27381419128917345,0.17157384509565587,0.16812458024154536,0.1488354113181026,0.21026535480023853,0.21648117295914115,0.2235793041353326,0.48594545864322736,0.43605841137006174,0.40937445379262727,34.8,31.6,30.4375,18.2,17.6,15.5625
0022500276,2025-11-23 23:00:00+00:00,1610612737,ATL,1610612766,CHA,1,113.0,110.0,1,3.0,91.0,45.0,31.0,11.0,16.0,12.0,10.0,27.0,45.0,32.0,6.0,5.0,21.0,9.0,99.42,0.554945054945055,0.5762953896368829,0.17582417582417584,0.09052504526252263,0.22727272727272727,0.75,0.34065934065934067,113.65922349627841,110.64172198752766,3.0175015087507546,0.9583333333333334,1,1,121.8,119.3,117.58823529411765,119.4,112.2,114.6470588235294,2.4,7.1,2.9411764705882355,103.58400000000002,103.05,103.83764705882353,117.52788193409546,115.70138333492176,113.28182311622567,115.14587882395217,108.88230382041407,110.37957261445632,2.3820031101433017,6.819079514507706,2.9022505017693483,0.6128893396439036,0.5902882205401114,0.5680168546352543,0.6346537394564665,0.6217368697658012,0.6018422809621278,0.21194951543835927,0.2496604287961211,0.27012577480811095,0.14768734661344263,0.1541400713033237,0.14430534819292165,0.21228555682044056,0.21819057466854286,0.2234994757875026,0.49405003380662615,0.45729939261104297,0.4153589630466557,32.0,31.6,30.294117647058822,15.4,16.0,15.058823529411764
0022500057,2025-11-26 00:00:00+00:00,1610612737,ATL,1610612764,WAS,0,113.0,132.0,0,-19.0,95.0,43.0,43.0,15.0,16.0,12.0,14.0,30.0,54.0,33.0,4.0,6.0,19.0,19.0,104.74000000000001,0.531578947368421,0.5537044296354371,0.16842105263157894,0.1814015657819362,0.3181818181818182,0.8333333333333334,0.45263157894736844,107.88619438609891,126.02635096429252,-18.14015657819361,2.0416666666666665,0,1,118.0,117.9,117.33333333333333,117.0,112.0,114.38888888888889,1.0,5.9,2.9444444444444446,101.476,102.64200000000001,103.59222222222223,116.25099618591571,114.7967742835834,113.30278980400638,115.08433598973707,109.12521998051947,110.39413646851584,1.1666601961786482,5.671554303063941,2.9086533354905373,0.5949894617440256,0.5811993927012835,0.5672906435413544,0.6174890613645815,0.6091851532034064,0.6004230092218364,0.19822546171430552,0.2089095130452053,0.26488679708678126,0.13305317778308068,0.1438689043319914,0.14131755358567727,0.21683101136589505,0.2227360292139974,0.22370910087001508,0.45773745749404976,0.4496986600103104,0.4112089840251382,31.2,32.5,30.38888888888889,13.6,14.9,14.722222222222221
