game_date,bref_id,team,opponent,player_name,is_home
2021-10-19,202110190LAL,LAL,GSW,Anthony Davis,True
2021-10-19,202110190LAL,LAL,GSW,LeBron James,True
2021-10-19,202110190LAL,LAL,GSW,Russell Westbrook,True
2021-10-19,202110190LAL,LAL,GSW,Kent Bazemore,True
2021-10-19,202110190LAL,LAL,GSW,DeAndre Jordan,True
2021-10-19,202110190LAL,GSW,LAL,Stephen Curry,False
2021-10-19,202110190LAL,GSW,LAL,Draymond Green,False
2021-10-19,202110190LAL,GSW,LAL,Andrew Wiggins,False
2021-10-19,202110190LAL,GSW,LAL,Jordan Poole,False
2021-10-19,202110190LAL,GSW,LAL,Kevon Looney,False
2021-10-19,202110190MIL,MIL,BKN,Giannis Antetokounmpo,True
2021-10-19,202110190MIL,MIL,BKN,Khris Middleton,True
2021-10-19,202110190MIL,MIL,BKN,Brook Lopez,True
2021-10-19,202110190MIL,MIL,BKN,Grayson Allen,True
2021-10-19,202110190MIL,MIL,BKN,Jrue Holiday,True
2021-10-19,202110190MIL,BKN,MIL,Joe Harris,False
2021-10-19,202110190MIL,BKN,MIL,James Harden,False
2021-10-19,202110190MIL,BKN,MIL,Kevin Durant,False
2021-10-19,202110190MIL,BKN,MIL,Nic Claxton,False
2021-10-19,202110190MIL,BKN,MIL,Blake Griffin,False
2021-10-20,202110200CHO,CHA,IND,Gordon Hayward,True
2021-10-20,202110200CHO,CHA,IND,Kelly Oubre Jr.,True
2021-10-20,202110200CHO,CHA,IND,Miles Bridges,True
2021-10-20,202110200CHO,CHA,IND,Mason Plumlee,True
2021-10-20,202110200CHO,CHA,IND,LaMelo Ball,True
2021-10-20,202110200CHO,IND,CHA,Malcolm Brogdon,False
2021-10-20,202110200CHO,IND,CHA,Domantas Sabonis,False
2021-10-20,202110200CHO,IND,CHA,Chris Duarte,False
2021-10-20,202110200CHO,IND,CHA,Myles Turner,False
2021-10-20,202110200CHO,IND,CHA,Justin Holiday,False
2021-10-20,202110200DET,DET,CHI,Saddiq Bey,True
2021-10-20,202110200DET,DET,CHI,Jerami Grant,True
2021-10-20,202110200DET,DET,CHI,Frank Jackson,True
2021-10-20,202110200DET,DET,CHI,Isaiah Stewart,True
2021-10-20,202110200DET,DET,CHI,Killian Hayes,True
2021-10-20,202110200DET,CHI,DET,DeMar DeRozan,False
2021-10-20,202110200DET,CHI,DET,Nikola VuÄeviÄ,False
2021-10-20,202110200DET,CHI,DET,Zach LaVine,False
2021-10-20,202110200DET,CHI,DET,Lonzo Ball,False
2021-10-20,202110200DET,CHI,DET,Patrick Williams,False
2021-10-20,202110200MEM,MEM,CLE,Ja Morant,True
2021-10-20,202110200MEM,MEM,CLE,Steven Adams,True
2021-10-20,202110200MEM,MEM,CLE,Jaren Jackson Jr.,True
2021-10-20,202110200MEM,MEM,CLE,De'Anthony Melton,True
2021-10-20,202110200MEM,MEM,CLE,Desmond Bane,True
2021-10-20,202110200MEM,CLE,MEM,Evan Mobley,False
2021-10-20,202110200MEM,CLE,MEM,Darius Garland,False
2021-10-20,202110200MEM,CLE,MEM,Lauri Markkanen,False
2021-10-20,202110200MEM,CLE,MEM,Collin Sexton,False
2021-10-20,202110200MEM,CLE,MEM,Jarrett Allen,False
2021-10-20,202110200MIN,MIN,HOU,Anthony Edwards,True
2021-10-20,202110200MIN,MIN,HOU,Karl-Anthony Towns,True
2021-10-20,202110200MIN,MIN,HOU,Jaden McDaniels,True
2021-10-20,202110200MIN,MIN,HOU,D'Angelo Russell,True
2021-10-20,202110200MIN,MIN,HOU,Josh Okogie,True
2021-10-20,202110200MIN,HOU,MIN,Jalen Green,False
2021-10-20,202110200MIN,HOU,MIN,Christian Wood,False
2021-10-20,202110200MIN,HOU,MIN,Kevin Porter Jr.,False
2021-10-20,202110200MIN,HOU,MIN,Jae'Sean Tate,False
2021-10-20,202110200MIN,HOU,MIN,Daniel Theis,False
2021-10-20,202110200NOP,NOP,PHI,Brandon Ingram,True
2021-10-20,202110200NOP,NOP,PHI,Nickeil Alexander-Walker,True
2021-10-20,202110200NOP,NOP,PHI,Jonas ValanÄiÅ«nas,True
2021-10-20,202110200NOP,NOP,PHI,Devonte' Graham,True
2021-10-20,202110200NOP,NOP,PHI,Josh Hart,True
2021-10-20,202110200NOP,PHI,NOP,Tyrese Maxey,False
2021-10-20,202110200NOP,PHI,NOP,Tobias Harris,False
2021-10-20,202110200NOP,PHI,NOP,Seth Curry,False
2021-10-20,202110200NOP,PHI,NOP,Joel Embiid,False
2021-10-20,202110200NOP,PHI,NOP,Danny Green,False
2021-10-20,202110200NYK,NYK,BOS,RJ Barrett,True
2021-10-20,202110200NYK,NYK,BOS,Julius Randle,True
2021-10-20,202110200NYK,NYK,BOS,Evan Fournier,True
2021-10-20,202110200NYK,NYK,BOS,Kemba Walker,True
2021-10-20,202110200NYK,NYK,BOS,Mitchell Robinson,True
2021-10-20,202110200NYK,BOS,NYK,Jaylen Brown,False
2021-10-20,202110200NYK,BOS,NYK,Marcus Smart,False
2021-10-20,202110200NYK,BOS,NYK,Robert Williams,False
2021-10-20,202110200NYK,BOS,NYK,Jayson Tatum,False
2021-10-20,202110200NYK,BOS,NYK,Grant Williams,False
2021-10-20,202110200PHO,PHX,DEN,Chris Paul,True
2021-10-20,202110200PHO,PHX,DEN,Mikal Bridges,True
2021-10-20,202110200PHO,PHX,DEN,Deandre Ayton,True
2021-10-20,202110200PHO,PHX,DEN,Devin Booker,True
2021-10-20,202110200PHO,PHX,DEN,Jae Crowder,True
2021-10-20,202110200PHO,DEN,PHX,Nikola JokiÄ,False
2021-10-20,202110200PHO,DEN,PHX,Michael Porter Jr.,False
2021-10-20,202110200PHO,DEN,PHX,Will Barton,False
2021-10-20,202110200PHO,DEN,PHX,Aaron Gordon,False
2021-10-20,202110200PHO,DEN,PHX,Monte Morris,False
2021-10-20,202110200POR,POR,SAC,Damian Lillard,True
2021-10-20,202110200POR,POR,SAC,CJ McCollum,True
2021-10-20,202110200POR,POR,SAC,Norman Powell,True
2021-10-20,202110200POR,POR,SAC,Robert Covington,True
2021-10-20,202110200POR,POR,SAC,Jusuf NurkiÄ,True
2021-10-20,202110200POR,SAC,POR,Harrison Barnes,False
2021-10-20,202110200POR,SAC,POR,De'Aaron Fox,False
2021-10-20,202110200POR,SAC,POR,Richaun Holmes,False
2021-10-20,202110200POR,SAC,POR,Tyrese Haliburton,False
2021-10-20,202110200POR,SAC,POR,Maurice Harkless,False
2021-10-20,202110200SAS,SAS,ORL,Dejounte Murray,True
2021-10-20,202110200SAS,SAS,ORL,Derrick White,True
2021-10-20,202110200SAS,SAS,ORL,Jakob Poeltl,True
2021-10-20,202110200SAS,SAS,ORL,Keldon Johnson,True
2021-10-20,202110200SAS,SAS,ORL,Doug McDermott,True
2021-10-20,202110200SAS,ORL,SAS,Franz Wagner,False
2021-10-20,202110200SAS,ORL,SAS,Jalen Suggs,False
2021-10-20,202110200SAS,ORL,SAS,Cole Anthony,False
2021-10-20,202110200SAS,ORL,SAS,Mo Bamba,False
2021-10-20,202110200SAS,ORL,SAS,Wendell Carter Jr.,False
2021-10-20,202110200TOR,TOR,WAS,Fred VanVleet,True
2021-10-20,202110200TOR,TOR,WAS,OG Anunoby,True
2021-10-20,202110200TOR,TOR,WAS,Scottie Barnes,True
2021-10-20,202110200TOR,TOR,WAS,Goran DragiÄ,True
2021-10-20,202110200TOR,TOR,WAS,Precious Achiuwa,True
2021-10-20,202110200TOR,WAS,TOR,Kyle Kuzma,False
2021-10-20,202110200TOR,WAS,TOR,Bradley Beal,False
2021-10-20,202110200TOR,WAS,TOR,Kentavious Caldwell-Pope,False
2021-10-20,202110200TOR,WAS,TOR,Spencer Dinwiddie,False
2021-10-20,202110200TOR,WAS,TOR,Daniel Gafford,False
2021-10-20,202110200UTA,UTA,OKC,Rudy Gobert,True
2021-10-20,202110200UTA,UTA,OKC,Donovan Mitchell,True
2021-10-20,202110200UTA,UTA,OKC,Bojan BogdanoviÄ,True
2021-10-20,202110200UTA,UTA,OKC,Royce O'Neale,True
2021-10-20,202110200UTA,UTA,OKC,Mike Conley,True
2021-10-20,202110200UTA,OKC,UTA,Shai Gilgeous-Alexander,False
2021-10-20,202110200UTA,OKC,UTA,Darius Bazley,False
2021-10-20,202110200UTA,OKC,UTA,Luguentz Dort,False
2021-10-20,202110200UTA,OKC,UTA,Josh Giddey,False
2021-10-20,202110200UTA,OKC,UTA,Derrick Favors,False
2021-10-21,202110210ATL,ATL,DAL,Trae Young,True
2021-10-21,202110210ATL,ATL,DAL,John Collins,True
2021-10-21,202110210ATL,ATL,DAL,De'Andre Hunter,True
2021-10-21,202110210ATL,ATL,DAL,Bogdan BogdanoviÄ,True
2021-10-21,202110210ATL,ATL,DAL,Clint Capela,True
2021-10-21,202110210ATL,DAL,ATL,Luka DonÄiÄ,False
2021-10-21,202110210ATL,DAL,ATL,Kristaps PorziÅÄ£is,False
2021-10-21,202110210ATL,DAL,ATL,Dorian Finney-Smith,False
2021-10-21,202110210ATL,DAL,ATL,Tim Hardaway Jr.,False
2021-10-21,202110210ATL,DAL,ATL,Dwight Powell,False
2021-10-21,202110210GSW,GSW,LAC,Stephen Curry,True
2021-10-21,202110210GSW,GSW,LAC,Draymond Green,True
2021-10-21,202110210GSW,GSW,LAC,Andrew Wiggins,True
2021-10-21,202110210GSW,GSW,LAC,Jordan Poole,True
2021-10-21,202110210GSW,GSW,LAC,Kevon Looney,True
2021-10-21,202110210GSW,LAC,GSW,Reggie Jackson,False
2021-10-21,202110210GSW,LAC,GSW,Paul George,False
2021-10-21,202110210GSW,LAC,GSW,Eric Bledsoe,False
2021-10-21,202110210GSW,LAC,GSW,Marcus Morris,False
2021-10-21,202110210GSW,LAC,GSW,Ivica Zubac,False
2021-10-21,202110210MIA,MIA,MIL,Jimmy Butler,True
2021-10-21,202110210MIA,MIA,MIL,Kyle Lowry,True
2021-10-21,202110210MIA,MIA,MIL,Duncan Robinson,True
2021-10-21,202110210MIA,MIA,MIL,Bam Adebayo,True
2021-10-21,202110210MIA,MIA,MIL,P.J. Tucker,True
2021-10-21,202110210MIA,MIL,MIA,Grayson Allen,False
2021-10-21,202110210MIA,MIL,MIA,Pat Connaughton,False
2021-10-21,202110210MIA,MIL,MIA,Khris Middleton,False
2021-10-21,202110210MIA,MIL,MIA,Giannis Antetokounmpo,False
2021-10-21,202110210MIA,MIL,MIA,George Hill,False
2021-10-22,202110220BOS,BOS,TOR,Jayson Tatum,True
2021-10-22,202110220BOS,BOS,TOR,Marcus Smart,True
2021-10-22,202110220BOS,BOS,TOR,Robert Williams,True
2021-10-22,202110220BOS,BOS,TOR,Jaylen Brown,True
2021-10-22,202110220BOS,BOS,TOR,Al Horford,True
2021-10-22,202110220BOS,TOR,BOS,Fred VanVleet,False
2021-10-22,202110220BOS,TOR,BOS,Scottie Barnes,False
2021-10-22,202110220BOS,TOR,BOS,OG Anunoby,False
2021-10-22,202110220BOS,TOR,BOS,Gary Trent Jr.,False
2021-10-22,202110220BOS,TOR,BOS,Precious Achiuwa,False
2021-10-22,202110220CHI,CHI,NOP,Lonzo Ball,True
2021-10-22,202110220CHI,CHI,NOP,DeMar DeRozan,True
2021-10-22,202110220CHI,CHI,NOP,Zach LaVine,True
2021-10-22,202110220CHI,CHI,NOP,Nikola VuÄeviÄ,True
2021-10-22,202110220CHI,CHI,NOP,Patrick Williams,True
2021-10-22,202110220CHI,NOP,CHI,Brandon Ingram,False
2021-10-22,202110220CHI,NOP,CHI,Jonas ValanÄiÅ«nas,False
2021-10-22,202110220CHI,NOP,CHI,Nickeil Alexander-Walker,False
2021-10-22,202110220CHI,NOP,CHI,Devonte' Graham,False
2021-10-22,202110220CHI,NOP,CHI,Herbert Jones,False
2021-10-22,202110220CLE,CLE,CHA,Collin Sexton,True
2021-10-22,202110220CLE,CLE,CHA,Lauri Markkanen,True
2021-10-22,202110220CLE,CLE,CHA,Evan Mobley,True
2021-10-22,202110220CLE,CLE,CHA,Ricky Rubio,True
2021-10-22,202110220CLE,CLE,CHA,Jarrett Allen,True
2021-10-22,202110220CLE,CHA,CLE,Miles Bridges,False
2021-10-22,202110220CLE,CHA,CLE,Gordon Hayward,False
2021-10-22,202110220CLE,CHA,CLE,LaMelo Ball,False
2021-10-22,202110220CLE,CHA,CLE,Terry Rozier,False
2021-10-22,202110220CLE,CHA,CLE,Mason Plumlee,False
2021-10-22,202110220DEN,DEN,SAS,Nikola JokiÄ,True
2021-10-22,202110220DEN,DEN,SAS,Will Barton,True
2021-10-22,202110220DEN,DEN,SAS,Aaron Gordon,True
2021-10-22,202110220DEN,DEN,SAS,Monte Morris,True
2021-10-22,202110220DEN,DEN,SAS,Michael Porter Jr.,True
2021-10-22,202110220DEN,SAS,DEN,Keldon Johnson,False
2021-10-22,202110220DEN,SAS,DEN,Derrick White,False
2021-10-22,202110220DEN,SAS,DEN,Dejounte Murray,False
2021-10-22,202110220DEN,SAS,DEN,Doug McDermott,False
2021-10-22,202110220DEN,SAS,DEN,Jakob Poeltl,False
2021-10-22,202110220HOU,HOU,OKC,Christian Wood,True
2021-10-22,202110220HOU,HOU,OKC,Kevin Porter Jr.,True
2021-10-22,202110220HOU,HOU,OKC,Jae'Sean Tate,True
2021-10-22,202110220HOU,HOU,OKC,Jalen Green,True
2021-10-22,202110220HOU,HOU,OKC,Daniel Theis,True
2021-10-22,202110220HOU,OKC,HOU,Luguentz Dort,False
2021-10-22,202110220HOU,OKC,HOU,Shai Gilgeous-Alexander,False
2021-10-22,202110220HOU,OKC,HOU,Josh Giddey,False
2021-10-22,202110220HOU,OKC,HOU,Darius Bazley,False
2021-10-22,202110220HOU,OKC,HOU,Isaiah Roby,False
2021-10-22,202110220LAL,LAL,PHX,Anthony Davis,True
2021-10-22,202110220LAL,LAL,PHX,LeBron James,True
2021-10-22,202110220LAL,LAL,PHX,Russell Westbrook,True
2021-10-22,202110220LAL,LAL,PHX,Kent Bazemore,True
2021-10-22,202110220LAL,LAL,PHX,DeAndre Jordan,True
2021-10-22,202110220LAL,PHX,LAL,Mikal Bridges,False
2021-10-22,202110220LAL,PHX,LAL,Jae Crowder,False
2021-10-22,202110220LAL,PHX,LAL,Devin Booker,False
2021-10-22,202110220LAL,PHX,LAL,Deandre Ayton,False
2021-10-22,202110220LAL,PHX,LAL,Chris Paul,False
2021-10-22,202110220ORL,ORL,NYK,Mo Bamba,True
2021-10-22,202110220ORL,ORL,NYK,Franz Wagner,True
2021-10-22,202110220ORL,ORL,NYK,Jalen Suggs,True
2021-10-22,202110220ORL,ORL,NYK,Cole Anthony,True
