game_date,bref_id,team,opponent,player_name,is_home
2023-10-24,202310240DEN,DEN,LAL,Nikola JokiÄ,True
2023-10-24,202310240DEN,DEN,LAL,Kentavious Caldwell-Pope,True
2023-10-24,202310240DEN,DEN,LAL,Aaron Gordon,True
2023-10-24,202310240DEN,DEN,LAL,Jamal Murray,True
2023-10-24,202310240DEN,DEN,LAL,Michael Porter Jr.,True
2023-10-24,202310240DEN,LAL,DEN,D'Angelo Russell,False
2023-10-24,202310240DEN,LAL,DEN,Anthony Davis,False
2023-10-24,202310240DEN,LAL,DEN,Austin Reaves,False
2023-10-24,202310240DEN,LAL,DEN,Taurean Prince,False
2023-10-24,202310240DEN,LAL,DEN,LeBron James,False
2023-10-24,202310240GSW,GSW,PHX,Klay Thompson,True
2023-10-24,202310240GSW,GSW,PHX,Chris Paul,True
2023-10-24,202310240GSW,GSW,PHX,Stephen Curry,True
2023-10-24,202310240GSW,GSW,PHX,Kevon Looney,True
2023-10-24,202310240GSW,GSW,PHX,Andrew Wiggins,True
2023-10-24,202310240GSW,PHX,GSW,Devin Booker,False
2023-10-24,202310240GSW,PHX,GSW,Kevin Durant,False
2023-10-24,202310240GSW,PHX,GSW,Josh Okogie,False
2023-10-24,202310240GSW,PHX,GSW,Jusuf NurkiÄ,False
2023-10-24,202310240GSW,PHX,GSW,Grayson Allen,False
2023-10-25,202310250BRK,BKN,CLE,Mikal Bridges,True
2023-10-25,202310250BRK,BKN,CLE,Nic Claxton,True
2023-10-25,202310250BRK,BKN,CLE,Cameron Johnson,True
2023-10-25,202310250BRK,BKN,CLE,Spencer Dinwiddie,True
2023-10-25,202310250BRK,BKN,CLE,Ben Simmons,True
2023-10-25,202310250BRK,CLE,BKN,Max Strus,False
2023-10-25,202310250BRK,CLE,BKN,Donovan Mitchell,False
2023-10-25,202310250BRK,CLE,BKN,Evan Mobley,False
2023-10-25,202310250BRK,CLE,BKN,Darius Garland,False
2023-10-25,202310250BRK,CLE,BKN,Isaac Okoro,False
2023-10-25,202310250CHI,CHI,OKC,DeMar DeRozan,True
2023-10-25,202310250CHI,CHI,OKC,Nikola VuÄeviÄ,True
2023-10-25,202310250CHI,CHI,OKC,Coby White,True
2023-10-25,202310250CHI,CHI,OKC,Patrick Williams,True
2023-10-25,202310250CHI,CHI,OKC,Zach LaVine,True
2023-10-25,202310250CHI,OKC,CHI,Shai Gilgeous-Alexander,False
2023-10-25,202310250CHI,OKC,CHI,Luguentz Dort,False
2023-10-25,202310250CHI,OKC,CHI,Jalen Williams,False
2023-10-25,202310250CHI,OKC,CHI,Josh Giddey,False
2023-10-25,202310250CHI,OKC,CHI,Chet Holmgren,False
2023-10-25,202310250CHO,CHA,ATL,Terry Rozier,True
2023-10-25,202310250CHO,CHA,ATL,Gordon Hayward,True
2023-10-25,202310250CHO,CHA,ATL,P.J. Washington,True
2023-10-25,202310250CHO,CHA,ATL,LaMelo Ball,True
2023-10-25,202310250CHO,CHA,ATL,Mark Williams,True
2023-10-25,202310250CHO,ATL,CHA,Trae Young,False
2023-10-25,202310250CHO,ATL,CHA,Dejounte Murray,False
2023-10-25,202310250CHO,ATL,CHA,De'Andre Hunter,False
2023-10-25,202310250CHO,ATL,CHA,Saddiq Bey,False
2023-10-25,202310250CHO,ATL,CHA,Clint Capela,False
2023-10-25,202310250IND,IND,WAS,Bruce Brown,True
2023-10-25,202310250IND,IND,WAS,Tyrese Haliburton,True
2023-10-25,202310250IND,IND,WAS,Bennedict Mathurin,True
2023-10-25,202310250IND,IND,WAS,Myles Turner,True
2023-10-25,202310250IND,IND,WAS,Obi Toppin,True
2023-10-25,202310250IND,WAS,IND,Tyus Jones,False
2023-10-25,202310250IND,WAS,IND,Jordan Poole,False
2023-10-25,202310250IND,WAS,IND,Kyle Kuzma,False
2023-10-25,202310250IND,WAS,IND,Daniel Gafford,False
2023-10-25,202310250IND,WAS,IND,Deni Avdija,False
2023-10-25,202310250LAC,LAC,POR,Paul George,True
2023-10-25,202310250LAC,LAC,POR,Russell Westbrook,True
2023-10-25,202310250LAC,LAC,POR,Kawhi Leonard,True
2023-10-25,202310250LAC,LAC,POR,Ivica Zubac,True
2023-10-25,202310250LAC,LAC,POR,Robert Covington,True
2023-10-25,202310250LAC,POR,LAC,Scoot Henderson,False
2023-10-25,202310250LAC,POR,LAC,Jerami Grant,False
2023-10-25,202310250LAC,POR,LAC,Anfernee Simons,False
2023-10-25,202310250LAC,POR,LAC,Deandre Ayton,False
2023-10-25,202310250LAC,POR,LAC,Matisse Thybulle,False
2023-10-25,202310250MEM,MEM,NOP,Desmond Bane,True
2023-10-25,202310250MEM,MEM,NOP,Jaren Jackson Jr.,True
2023-10-25,202310250MEM,MEM,NOP,Xavier Tillman Sr.,True
2023-10-25,202310250MEM,MEM,NOP,Marcus Smart,True
2023-10-25,202310250MEM,MEM,NOP,Ziaire Williams,True
2023-10-25,202310250MEM,NOP,MEM,Herbert Jones,False
2023-10-25,202310250MEM,NOP,MEM,CJ McCollum,False
2023-10-25,202310250MEM,NOP,MEM,Brandon Ingram,False
